artist,total_tv_appearances,spotify_popularity,youtube_hit_appearances,google_trends_score,cluster
10-FEET,2,56.0,0.0,8.694656488549619,1
A.B.C-Z,5,41.0,0.0,23.14503816793893,1
AAA,3,16.0,0.0,17.35114503816794,0
AI,12,54.0,0.0,36.92748091603053,2
AI美空ひばり,1,0.0,0.0,5.324427480916031,0
AKB48,19,59.0,0.0,53.33587786259542,2
Ado,3,13.0,0.0,18.610687022900763,0
Aimer,2,67.0,0.0,0.0,1
Aqours,1,49.0,0.0,14.442748091603054,1
Awesome City Club,2,50.0,0.0,0.0,1
Awich,1,63.0,0.0,20.141221374045802,1
Aぇ! group,1,36.0,0.0,21.137404580152673,1
B'z,3,20.0,0.0,16.171755725190838,0
B.B.クィーンズ,1,0.0,0.0,2.1106870229007635,0
BABYMETAL,4,71.0,0.0,0.0,1
BARBEE BOYS,1,45.0,0.0,11.435114503816793,1
BE:FIRST,8,71.0,0.0,0.0,1
BLOOM VASE,1,48.0,0.0,0.0,1
BLUE ENCOUNT,1,54.0,0.0,23.977099236641223,1
BOYNEXTDOOR,1,72.0,0.0,15.412213740458014,1
BREAKERZ,1,33.0,0.0,26.18702290076336,1
BTS,2,44.0,0.0,29.35496183206107,1
BUMP OF CHICKEN,2,64.0,0.0,21.46564885496183,1
BiSH,4,14.0,0.0,0.0,0
BoA,2,57.0,0.0,0.0,1
Boyz II Men,1,71.0,0.0,2.2900763358778624,1
B’z,1,20.0,0.0,11.057251908396946,0
B小町,1,51.0,0.0,2.732824427480916,1
CANDY TUNE,1,58.0,0.0,8.32442748091603,1
CHEMISTRY,3,51.0,0.0,56.43129770992366,1
CUTIE STREET,1,62.0,0.0,9.717557251908397,1
Creepy Nuts,4,74.0,1.0,0.0,1
DA PUMP,12,49.0,0.0,20.12213740458015,2
DAIGO,1,54.0,0.0,8.412213740458014,1
DAOKO,2,57.0,0.0,18.782442748091604,1
DEAN FUJIOKA,4,42.0,0.0,10.316793893129772,1
DISH//,6,14.0,2.0,0.0,0
DJ松永（Creepy Nuts）,1,0.0,0.0,0.0,0
Da-iCE,5,66.0,0.0,11.01526717557252,1
Da-iCE、ME:I,1,0.0,0.0,0.0,0
Def Tech,1,52.0,0.0,0.0,1
E-girls,13,48.0,0.0,9.702290076335878,2
ELEVENPLAY,1,0.0,0.0,1.9122137404580153,0
EXILE,11,62.0,0.0,47.343511450381676,2
EXILE ATSUSHI,1,47.0,0.0,12.988549618320612,1
EXILE THE SECOND,4,34.0,0.0,10.48091603053435,1
EXIT,1,42.0,0.0,0.0,1
FANTASTICS,1,53.0,0.0,43.79389312977099,1
FANTASTICS from EXILE TRIBE,1,53.0,0.0,31.935114503816795,1
FRUITS ZIPPER,1,64.0,0.0,17.732824427480917,1
Foorin,6,36.0,0.0,6.603053435114504,1
GENERATIONS,13,53.0,0.0,0.0,2
GENERATIONS from EXILE TRIBE,8,53.0,0.0,40.603053435114504,2
GLAY,2,59.0,0.0,20.9618320610687,1
GReeeeN,1,64.0,2.0,4.33587786259542,1
HKT48,2,37.0,0.0,38.5,1
HY,2,57.0,0.0,23.81297709923664,1
Hey! Say! JUMP,20,59.0,1.0,36.14503816793893,2
Hey!Say!JUMP,1,59.0,0.0,36.14503816793893,1
Hoodie fam,1,0.0,0.0,3.5572519083969465,0
ILLIT,3,78.0,0.0,8.80916030534351,1
IMP.,2,31.0,1.0,18.209923664122137,1
INI,1,24.0,0.0,33.66793893129771,1
IVE,1,44.0,0.0,0.0,1
IZ*ONE,1,61.0,0.0,0.0,1
J-FRIENDS,1,56.0,0.0,0.7480916030534351,1
JO1,4,7.0,0.0,0.0,0
JUJU,7,56.0,0.0,17.69465648854962,1
Jr.EXILE,1,27.0,0.0,0.0,0
Jr.EXILE（GENERATIONS、THE RAMPAGE、FANTASTICS、BALLISTIK BOYZ）,1,0.0,0.0,0.0,0
KABA.ちゃん,1,0.0,0.0,16.549618320610687,0
KANA-BOON,1,63.0,0.0,1.9580152671755726,1
KARA,2,2.0,0.0,7.038167938931298,0
KAT-TUN,13,31.0,0.0,15.053435114503817,2
KICK THE CAN CREW,1,36.0,0.0,0.0,0
KREVA,1,49.0,0.0,19.782442748091604,1
Kep1er,1,56.0,0.0,12.118320610687023,1
KinKi Kids,13,62.0,0.0,24.450381679389313,2
King Gnu,9,72.0,18.0,20.927480916030536,3
Kiroro,1,49.0,0.0,38.69847328244275,1
Kis-My-Ft2,13,53.0,0.0,29.49618320610687,2
L'Arc〜en〜Ciel,5,0.0,0.0,23.65267175572519,0
L'Arc～en～Ciel,1,0.0,0.0,28.49236641221374,0
LE SSERAFIM,6,82.0,0.0,0.0,1
LUNA SEA,3,48.0,0.0,21.564885496183205,1
LiSA,9,71.0,0.0,10.98473282442748,1
Little Glee Monster,12,56.0,0.0,13.450381679389313,2
MAN WITH A MISSION,1,63.0,0.0,32.156488549618324,1
ME:I,2,56.0,0.0,22.99618320610687,1
MIGHTY WARRIORS,1,20.0,0.0,1.282442748091603,0
MISAMO,2,60.0,0.0,5.812977099236641,1
MISIA,15,31.0,1.0,13.736641221374045,2
MIYAVI,2,55.0,0.0,7.324427480916031,1
Matt,1,72.0,0.0,29.48854961832061,1
May J.,2,79.0,0.0,8.977099236641221,1
Mirage Collective,1,26.0,0.0,2.0229007633587788,0
Mr.Children,5,68.0,0.0,19.572519083969464,1
Mrs. GREEN APPLE,7,84.0,13.0,19.290076335877863,3
NEWS,14,27.0,0.0,43.11832061068702,2
NGT48,1,29.0,0.0,33.66793893129771,1
NMB48,3,42.0,0.0,17.946564885496183,1
NewJeans,2,81.0,0.0,12.683206106870228,1
NiziU,14,61.0,0.0,0.0,2
Number_i,2,70.0,4.0,12.904580152671755,1
O-Zone,1,59.0,0.0,1.7404580152671756,1
ORANGE RANGE,2,64.0,0.0,0.0,1
Official髭男dism,5,22.0,25.0,18.66030534351145,3
Omoinotake,3,61.0,0.0,8.320610687022901,1
PUFFY,2,48.0,0.0,30.18702290076336,1
Perfume,29,59.0,0.0,36.18320610687023,2
RADIO FISH,3,32.0,0.0,6.061068702290076,0
RADWIMPS,2,76.0,7.0,29.759541984732824,1
RIIZE,1,69.0,0.0,16.68702290076336,1
Rockon Social Club,1,29.0,0.0,7.202290076335878,0
SEKAI NO OWARI,20,67.0,0.0,27.171755725190838,2
SEVENTEEN,4,82.0,0.0,44.48473282442748,1
SHISHAMO,2,62.0,0.0,8.33206106870229,1
SKE48,1,36.0,0.0,21.755725190839694,1
SMAP,3,14.0,0.0,25.729007633587788,0
STU48,1,32.0,0.0,13.603053435114504,1
SUPER BEAVER,4,65.0,0.0,38.14503816793893,1
SUPER EIGHT,1,54.0,0.0,11.358778625954198,1
SWEET STEADY,1,44.0,0.0,9.84351145038168,1
Saucy Dog,4,67.0,0.0,0.0,1
Sexy Zone,20,0.0,0.0,20.77480916030534,2
SixTONES,15,66.0,17.0,34.152671755725194,3
Snow Man,12,65.0,0.0,38.17557251908397,2
Stray Kids,6,87.0,0.0,41.25190839694657,1
Suchmos,1,59.0,0.0,8.15648854961832,1
Superfly,15,63.0,0.0,16.095419847328245,2
TAKAHIRO,1,37.0,0.0,13.633587786259541,1
THE ALFEE,1,49.0,0.0,11.110687022900763,1
THE LAST ROCKSTARS,1,22.0,0.0,0.0,0
THE RAMPAGE,6,55.0,0.0,32.61068702290076,1
THE RAMPAGE from EXILE TRIBE,3,55.0,0.0,32.70610687022901,1
THE YELLOW MONKEY,5,53.0,0.0,28.14885496183206,1
TOKIO,10,67.0,0.0,8.641221374045802,1
TOMORROW X TOGETHER,3,82.0,0.0,0.0,1
TWICE,8,87.0,0.0,46.4236641221374,2
Tani Yuuki,1,62.0,0.0,27.904580152671755,1
Toshl,4,26.0,0.0,28.553435114503817,1
Travis Japan,2,63.0,0.0,27.931297709923665,1
UVERworld,1,63.0,0.0,0.0,1
Uru,1,14.0,0.0,0.0,0
V6,7,44.0,0.0,9.946564885496183,1
Vaundy,3,75.0,0.0,0.0,1
WANIMA,7,63.0,0.0,27.267175572519083,1
X JAPAN,6,53.0,0.0,8.061068702290076,1
XG,1,57.0,2.0,15.606870229007633,1
YOASOBI,6,76.0,0.0,25.099236641221374,1
YOSHIKI,2,39.0,0.0,12.240458015267176,1
YUKI,2,31.0,0.0,24.217557251908396,1
aespa,1,81.0,0.0,32.98091603053435,1
aiko,17,13.0,1.0,16.064885496183205,2
ano,3,13.0,0.0,12.580152671755725,0
back number,8,77.0,15.0,26.251908396946565,3
m-flo,1,57.0,0.0,14.603053435114504,1
m-flo loves Maya,1,0.0,0.0,0.7404580152671756,0
m-flo loves 櫻井翔,1,0.0,0.0,0.0,0
milet,7,64.0,0.0,12.900763358778626,1
miwa,3,55.0,0.0,17.18320610687023,1
timelesz,1,59.0,0.0,6.137404580152672,1
tuki.,1,31.0,0.0,4.366412213740458,0
yama,2,2.0,2.0,18.80916030534351,0
μ's,1,11.0,0.0,32.29770992366412,0
あいみょん,11,4.0,15.0,28.431297709923665,3
いきものがかり,15,0.0,0.0,16.255725190839694,2
おしりたんてい,1,0.0,0.0,12.69083969465649,0
きゃりーぱみゅぱみゅ,6,6.0,0.0,5.622137404580153,0
こっちのけんと,2,1.0,0.0,2.145038167938931,0
さだまさし,3,46.0,0.0,0.0,1
すとぷり,1,49.0,0.0,26.087786259541986,1
ちゃんみな,1,0.0,2.0,16.515267175572518,0
なにわ男子,8,61.0,8.0,26.763358778625953,3
ひらめ,1,17.0,0.0,0.0,0
まふまふ,1,23.0,0.0,0.0,0
ゆず,20,59.0,0.0,37.44274809160305,2
イルカ,1,40.0,0.0,28.33587786259542,1
ウタ,2,31.0,0.0,0.0,0
エレファントカシマシ,2,0.0,0.0,20.5,0
オースティン・マホーン,1,0.0,0.0,11.209923664122137,0
キアラ・セトル,1,0.0,0.0,1.5534351145038168,0
キタニタツヤ,1,0.0,0.0,13.83969465648855,0
キョコロヒー,1,8.0,0.0,21.446564885496183,0
クイーン+アダム・ランバート,1,0.0,0.0,34.225190839694655,0
クリス松村,1,0.0,0.0,18.450381679389313,0
ケツメイシ,1,61.0,0.0,14.702290076335878,1
ゲスの極み乙女。,4,56.0,0.0,37.10687022900763,1
コブクロ,6,10.0,0.0,8.820610687022901,0
ゴスペラーズ,2,0.0,0.0,36.30152671755725,0
ゴールデンボンバー,11,1.0,0.0,13.694656488549619,2
サザンオールスターズ,2,0.0,0.0,24.561068702290076,0
ジェジュン,9,31.0,0.0,21.35114503816794,2
ジャニーズJr.,1,0.0,0.0,26.0,0
ジャニーズWEST,15,0.0,0.0,0.0,2
スガシカオ,2,0.0,0.0,18.385496183206108,0
スキマスイッチ,2,1.0,0.0,0.0,0
スチャダラパー,1,17.0,0.0,17.83587786259542,0
スティング,1,13.0,0.0,38.33587786259542,1
ダイアモンド☆ユカイ,1,0.0,0.0,17.248091603053435,0
トータス松本,1,29.0,0.0,3.8702290076335877,0
ナオト・インティライミ,3,0.0,0.0,0.0,0
ハマいく,1,31.0,0.0,1.251908396946565,0
ビリー・アイリッシュ,1,3.0,0.0,0.0,0
ビートたけし,1,1.0,0.0,13.064885496183207,0
ピコ太郎,3,0.0,0.0,22.34732824427481,0
ブラックビスケッツ,1,0.0,0.0,3.1106870229007635,0
ポルノグラフィティ,9,4.0,0.0,0.0,0
マカロニえんぴつ,5,12.0,0.0,25.087786259541986,0
モーニング娘。'17,1,0.0,0.0,3.0763358778625953,0
モーニング娘。MステSPユニット（モーニング娘。’23＆OGメンバー）,1,0.0,0.0,0.0,0
レベッカ,1,42.0,0.0,29.85496183206107,1
レミオロメン,1,53.0,0.0,12.83206106870229,1
一青窈,1,1.0,0.0,14.969465648854962,0
三代目 J SOUL BROTERS,1,0.0,0.0,0.0,0
三代目 J SOUL BROTHERS,3,18.0,0.0,25.46946564885496,0
三代目 J SOUL BROTHERS from EXILE TRIBE,4,18.0,0.0,23.30534351145038,0
三代目 J Soul Brothers,8,18.0,0.0,25.47328244274809,2
三代目 J Soul Brothers from EXILE TRIBE,3,18.0,0.0,0.0,0
三山ひろし,10,33.0,0.0,24.229007633587788,2
三浦大知,15,0.0,0.0,26.99236641221374,2
三浦祐太朗,1,0.0,0.0,17.045801526717558,0
上白石萌音,2,0.0,0.0,27.423664122137403,0
丘みどり,3,32.0,0.0,13.614503816793894,1
中丸雄一,2,0.0,0.0,1.4389312977099236,0
中元みずき,2,0.0,0.0,3.4122137404580153,0
中島美嘉,3,0.0,0.0,13.763358778625955,0
乃木坂46,31,11.0,0.0,38.17557251908397,2
久保田利伸,1,54.0,0.0,13.34351145038168,1
亀と山P,2,0.0,0.0,3.732824427480916,0
五木ひろし,6,43.0,0.0,15.870229007633588,1
今井美樹,1,50.0,0.0,17.923664122137403,1
伊藤蘭,1,10.0,0.0,4.152671755725191,0
伍代夏子,1,29.0,0.0,9.591603053435115,0
修二と彰,1,0.0,0.0,23.30916030534351,0
倉木麻衣,5,53.0,0.0,22.870229007633586,1
倖田來未,1,6.0,0.0,24.16412213740458,0
優里,4,75.0,0.0,0.0,1
刀剣男士,1,52.0,0.0,33.4236641221374,1
加山雄三,1,9.0,0.0,0.0,0
北島三郎,1,39.0,0.0,17.751908396946565,1
北島兄弟,1,8.0,0.0,2.8396946564885495,0
南こうせつ,1,33.0,0.0,4.770992366412214,0
和楽器バンド,2,0.0,0.0,0.0,0
和田アキ子,1,38.0,0.0,22.744274809160306,1
坂本冬美,10,45.0,0.0,14.587786259541986,2
堺正章,1,32.0,0.0,13.248091603053435,1
増田恵子,1,22.0,0.0,7.240458015267175,0
大原櫻子,1,0.0,0.0,3.030534351145038,0
大塚愛,3,0.0,0.0,0.0,0
大森元貴、SAKURA,1,0.0,0.0,0.0,0
大泉洋,1,11.0,0.0,23.240458015267176,0
大泉洋、大森元貴、LE SSERAFIM,1,0.0,0.0,0.0,0
大竹しのぶ,1,0.0,0.0,10.206106870229007,0
大黒摩季,1,13.0,0.0,6.740458015267175,0
天童よしみ,10,34.0,0.0,19.900763358778626,2
宇多田ヒカル,1,70.0,2.0,21.240458015267176,1
安全地帯,1,56.0,0.0,0.0,1
安室奈美恵,1,47.0,0.0,37.717557251908396,1
宮本浩次,7,1.0,0.0,12.358778625954198,0
家入レオ,3,6.0,1.0,14.65267175572519,0
寺尾聰,1,0.0,0.0,3.0114503816793894,0
小室哲哉+HYDE,1,0.0,0.0,23.96564885496183,0
小林幸子,1,39.0,0.0,23.751908396946565,1
小沢健二,5,45.0,0.0,11.251908396946565,1
屋比久知奈,1,0.0,0.0,5.362595419847328,0
屋比久知奈＆尾上松也,1,0.0,0.0,0.3816793893129771,0
山下智久,1,33.0,0.0,6.255725190839694,0
山内惠介,10,0.0,0.0,44.51145038167939,2
山寺宏一、櫻坂46、Stray Kids,1,0.0,0.0,1.0763358778625953,0
山崎育三郎,1,0.0,0.0,7.416030534351145,0
山本彩,1,2.0,0.0,0.0,0
岡崎体育,1,45.0,0.0,19.213740458015266,1
島津亜矢,5,38.0,0.0,14.038167938931299,1
嵐,20,84.0,0.0,9.541984732824428,2
嶋大輔,1,21.0,0.0,9.946564885496183,0
川崎鷹也,1,60.0,2.0,0.0,1
工藤静香,2,50.0,0.0,0.0,1
市川由紀乃,2,29.0,0.0,19.778625954198475,1
布袋寅泰,1,0.0,0.0,0.0,0
平井堅,8,56.0,0.0,0.0,1
平井大,3,0.0,0.0,25.16793893129771,0
平手友梨奈（欅坂46）,1,0.0,0.0,16.202290076335878,0
広瀬香美,3,4.0,0.0,0.0,0
後藤真希,1,30.0,0.0,7.591603053435114,0
德永英明,1,0.0,0.0,34.25954198473283,0
新しい学校のリーダーズ,3,0.0,0.0,11.461832061068701,0
新浜レオン,1,28.0,0.0,5.530534351145038,0
日向坂46,16,0.0,0.0,36.221374045801525,2
星野源,21,0.0,10.0,4.614503816793893,3
有吉弘行、橋本環奈、伊藤沙莉,1,0.0,0.0,0.3816793893129771,0
有吉弘行、橋本環奈、伊藤沙莉、 花田ゆういちろう、ながたまや、秋元杏月、 佐久本和夢、じゃじゃまる、ぴっころ、ぽろり、 スプー、みもも、やころ、ルチータ,1,0.0,0.0,0.3816793893129771,0
木村カエラ,1,0.0,0.0,19.3206106870229,0
木村昴,1,34.0,0.0,26.137404580152673,1
村方乃々佳,1,35.0,0.0,6.614503816793893,0
東京スカパラダイスオーケストラ,2,32.0,0.0,15.568702290076336,1
東京事変,4,0.0,1.0,11.148854961832061,0
東京都交響楽団,2,31.0,0.0,13.187022900763358,1
松たか子,1,51.0,0.0,14.881679389312977,1
松下奈緒,1,31.0,0.0,16.68320610687023,1
松任谷由実,3,57.0,0.0,13.099236641221374,1
松平健,2,33.0,0.0,0.0,0
松田聖子,6,59.0,0.0,2.935114503816794,1
柴咲コウ,1,3.0,0.0,0.0,0
桐谷健太,2,24.0,0.0,8.022900763358779,0
桑田佳祐,5,59.0,0.0,17.96946564885496,1
梅沢富美男,1,0.0,0.0,30.52671755725191,0
森七菜,1,37.0,0.0,0.0,0
森山直太朗,2,3.0,0.0,17.435114503816795,0
森進一,1,0.0,0.0,6.874045801526718,0
森高千里,1,0.0,0.0,0.0,0
椎名林檎,7,11.0,0.0,23.202290076335878,0
椎名林檎ともも,1,0.0,0.0,0.48854961832061067,0
椎名林檎と松崎ナオ,1,0.0,0.0,0.3816793893129771,0
槇原敬之,2,23.0,0.0,0.0,0
橋本環奈、浜辺美波,1,0.0,0.0,3.9198473282442747,0
櫻井翔,1,39.0,0.0,0.0,0
櫻坂46,11,63.0,0.0,0.0,2
欅坂46,12,0.0,0.0,7.851145038167939,2
武田真治,1,23.0,0.0,0.0,0
氣志團,1,29.0,0.0,0.0,0
水森かおり,10,32.0,0.0,22.301526717557252,2
氷川きよし,9,44.0,0.0,14.950381679389313,2
池田エライザ,1,27.0,0.0,0.0,0
浜崎あゆみ,1,0.0,0.0,0.0,0
浜田ばみゅばみゅ,1,0.0,0.0,0.0,0
清塚信也,2,0.0,0.0,0.0,0
清水美依紗,2,0.0,0.0,0.0,0
渡辺直美,1,26.0,0.0,7.938931297709924,0
玉置浩二,2,53.0,0.0,0.0,1
瑛人,2,34.0,0.0,0.0,0
生田絵梨花,2,1.0,0.0,12.083969465648854,0
田島貴男（Original Love）,1,29.0,0.0,0.0,0
由薫,2,5.0,1.0,7.576335877862595,0
石丸幹二,2,2.0,0.0,17.790076335877863,0
石川さゆり,12,44.0,0.0,9.931297709923664,2
福山雅治,16,57.0,0.0,20.637404580152673,2
福田こうへい,2,0.0,0.0,25.202290076335878,0
秦基博,4,2.0,0.0,0.0,0
稲葉浩志,1,0.0,0.0,9.32824427480916,0
竹下景子・武田鉄矢・田中健・松崎しげる,1,0.0,0.0,0.4389312977099237,0
竹内まりや,1,0.0,0.0,12.763358778625955,0
竹原ピストル,1,1.0,0.0,19.84732824427481,0
篠原涼子,1,41.0,0.0,8.629770992366412,1
米津玄師,2,0.0,20.0,11.683206106870228,3
紅白出演者有志,3,0.0,0.0,0.3816793893129771,0
紅白有志の皆さん,1,0.0,0.0,0.3816793893129771,0
純烈,6,7.0,0.0,21.396946564885496,0
純烈（ダチョウ倶楽部・有吉弘行）,1,0.0,0.0,0.3816793893129771,0
細川たかし,3,38.0,0.0,6.706106870229007,1
絢香,3,56.0,0.0,26.16030534351145,1
緑黄色社会,8,0.0,0.0,0.0,0
美炎-BIEN-,1,10.0,0.0,0.0,0
美輪明宏,1,21.0,0.0,20.15267175572519,0
花*花,1,71.0,0.0,65.8473282442748,1
荻野目洋子,2,44.0,0.0,20.18320610687023,1
菅田将暉,3,0.0,0.0,0.0,0
薬師丸ひろ子,2,51.0,0.0,10.874045801526718,1
藤あや子,1,29.0,0.0,19.938931297709924,1
藤井フミヤ,1,46.0,0.0,15.561068702290076,1
藤井隆,1,39.0,0.0,25.603053435114504,1
藤井風,3,0.0,0.0,0.0,0
藤原さくら,1,43.0,0.0,15.0,1
西内まりや,2,0.0,0.0,0.0,0
西野カナ,14,66.0,0.0,10.320610687022901,2
豊原江理佳,1,1.0,0.0,3.286259541984733,0
近藤真彦,1,0.0,0.0,2.8893129770992365,0
郷ひろみ,11,48.0,0.0,15.717557251908397,2
鈴木雅之,4,54.0,0.0,0.0,1
関ジャニ∞,24,0.0,0.0,16.870229007633586,2
青山テルマ,1,0.0,0.0,9.145038167938932,0
香西かおり,1,37.0,0.0,31.297709923664122,1
高嶋ちさ子,1,32.0,0.0,0.0,0
高橋優,1,13.0,0.0,15.026717557251908,0
高橋洋子,2,54.0,0.0,8.19083969465649,1
髙橋真梨子,4,0.0,0.0,12.530534351145038,0
麻倉未稀,1,33.0,0.0,4.931297709923665,0
［Alexandros］,3,62.0,0.0,0.0,1
