artist,total_tv_appearances,spotify_popularity,youtube_hit_appearances,google_trends_score,cluster,spotify_norm,youtube_norm,digital_popularity_score,quadrant,tv_appearances_jitter,kmeans_cluster
10-FEET,2,56.0,0.0,8.698473282442748,0,64.36781609195401,0.0,45.057471264367805,② デジタルネイティブ・スター,1.927705774562987,3
A.B.C-Z,5,41.0,0.0,23.133587786259543,0,47.12643678160919,0.0,32.98850574712643,① 総合スーパースター,4.909207021571048,0
AAA,3,16.0,0.0,17.34732824427481,1,18.39080459770115,0.0,12.873563218390803,④ その他,2.7297695760040934,1
AI,12,54.0,0.0,36.93511450381679,2,62.068965517241374,0.0,43.44827586206896,① 総合スーパースター,12.056470837277178,3
AI美空ひばり,1,0.0,0.0,5.3320610687022905,1,0.0,0.0,0.0,④ その他,0.8728706977097194,1
AKB48,19,59.0,0.0,53.32824427480916,2,67.81609195402298,0.0,47.47126436781608,① 総合スーパースター,19.09269637998122,3
Ado,3,13.0,0.0,18.606870229007637,1,14.942528735632184,0.0,10.459770114942527,④ その他,3.154894652478884,1
Aimer,2,67.0,0.0,11.198473282442748,0,77.01149425287356,0.0,53.90804597701149,② デジタルネイティブ・スター,2.026817108908357,2
Aqours,1,49.0,0.0,14.438931297709924,0,56.32183908045977,0.0,39.42528735632183,② デジタルネイティブ・スター,1.1529037397010344,3
Awesome City Club,2,50.0,0.0,7.706106870229007,0,57.47126436781609,0.0,40.22988505747126,② デジタルネイティブ・スター,2.080356818165956,3
Awich,1,63.0,0.0,20.16412213740458,0,72.41379310344827,0.0,50.68965517241379,② デジタルネイティブ・スター,1.0298406089339747,3
Aぇ! group,1,36.0,0.0,21.1412213740458,0,41.37931034482759,0.0,28.96551724137931,② デジタルネイティブ・スター,0.8197445995617265,0
B'z,3,20.0,0.0,16.171755725190838,1,22.988505747126435,0.0,16.091954022988503,④ その他,3.1172340370715994,0
B.B.クィーンズ,1,0.0,0.0,2.0763358778625958,1,0.0,0.0,0.0,④ その他,0.962249828929295,1
BABYMETAL,4,71.0,0.0,10.858778625954198,0,81.60919540229885,0.0,57.12643678160919,① 総合スーパースター,3.820829121537834,2
BARBEE BOYS,1,45.0,0.0,11.442748091603054,0,51.72413793103448,0.0,36.20689655172413,② デジタルネイティブ・スター,0.9799704311611691,3
BE:FIRST,8,71.0,0.0,14.83587786259542,0,81.60919540229885,0.0,57.12643678160919,① 総合スーパースター,7.955834989717066,2
BLOOM VASE,1,48.0,0.0,7.33587786259542,0,55.172413793103445,0.0,38.620689655172406,② デジタルネイティブ・スター,1.1488939940369083,3
BLUE ENCOUNT,1,54.0,0.0,23.97328244274809,0,62.068965517241374,0.0,43.44827586206896,② デジタルネイティブ・スター,1.0531521556302181,3
BOYNEXTDOOR,1,72.0,0.0,15.412213740458014,0,82.75862068965517,0.0,57.93103448275862,② デジタルネイティブ・スター,0.9731288461427267,2
BREAKERZ,1,33.0,0.0,26.18702290076336,0,37.93103448275862,0.0,26.551724137931032,② デジタルネイティブ・スター,0.9310231301089091,0
BTS,2,44.0,0.0,29.35496183206107,0,50.574712643678154,0.0,35.4022988505747,② デジタルネイティブ・スター,2.2207194555103094,3
BUMP OF CHICKEN,2,64.0,0.0,21.4618320610687,0,73.5632183908046,0.0,51.49425287356321,② デジタルネイティブ・スター,2.0234896065517507,3
BiSH,4,14.0,0.0,10.912213740458014,1,16.091954022988503,0.0,11.264367816091951,③ テレビ先行型スター,3.8628325738545075,1
BoA,2,57.0,0.0,15.709923664122137,0,65.51724137931033,0.0,45.86206896551723,② デジタルネイティブ・スター,1.9755886369083915,3
Boyz II Men,1,71.0,0.0,2.286259541984733,0,81.60919540229885,0.0,57.12643678160919,② デジタルネイティブ・スター,1.0133291646801426,2
B’z,1,20.0,0.0,11.057251908396946,1,22.988505747126435,0.0,16.091954022988503,④ その他,0.8868917086065319,0
B小町,1,51.0,0.0,2.732824427480916,0,58.62068965517241,0.0,41.03448275862068,② デジタルネイティブ・スター,1.1670221044244553,3
CANDY TUNE,1,58.0,0.0,8.320610687022901,0,66.66666666666666,0.0,46.66666666666666,② デジタルネイティブ・スター,0.8174147887116594,3
CHEMISTRY,3,51.0,0.0,56.44274809160305,0,58.62068965517241,0.0,41.03448275862068,② デジタルネイティブ・スター,3.127634427171926,3
CUTIE STREET,1,62.0,0.0,9.717557251908396,0,71.26436781609195,0.0,49.88505747126436,② デジタルネイティブ・スター,1.0238206330313036,3
Creepy Nuts,4,74.0,1.0,19.79770992366412,0,85.0574712643678,4.0,60.74022988505746,① 総合スーパースター,3.7479194884594516,2
DA PUMP,12,49.0,0.0,20.12213740458015,2,56.32183908045977,0.0,39.42528735632183,① 総合スーパースター,11.995735203152478,3
DAIGO,1,54.0,0.0,8.412213740458014,0,62.068965517241374,0.0,43.44827586206896,② デジタルネイティブ・スター,0.903705375443758,3
DAOKO,2,57.0,0.0,18.782442748091604,0,65.51724137931033,0.0,45.86206896551723,② デジタルネイティブ・スター,1.9793056335823578,3
DEAN FUJIOKA,4,42.0,0.0,10.3206106870229,0,48.275862068965516,0.0,33.79310344827586,① 総合スーパースター,3.8851689139472922,0
DISH//,6,14.0,2.0,23.01526717557252,1,16.091954022988503,8.0,13.664367816091952,③ テレビ先行型スター,5.866783735140089,0
DJ松永（Creepy Nuts）,1,0.0,0.0,0.0,1,0.0,0.0,0.0,④ その他,0.8167281344558118,1
Da-iCE,5,66.0,0.0,11.01526717557252,0,75.86206896551724,0.0,53.103448275862064,① 総合スーパースター,4.924881674052246,3
Da-iCE、ME:I,1,0.0,0.0,0.0,1,0.0,0.0,0.0,④ その他,0.8441310540502214,1
Def Tech,1,52.0,0.0,11.721374045801529,0,59.770114942528735,0.0,41.83908045977011,② デジタルネイティブ・スター,0.7801194255815711,3
E-girls,13,48.0,0.0,9.698473282442748,2,55.172413793103445,0.0,38.620689655172406,① 総合スーパースター,13.010982653158678,3
ELEVENPLAY,1,0.0,0.0,1.9274809160305344,1,0.0,0.0,0.0,④ その他,1.0176385978709224,1
EXILE,11,62.0,0.0,47.33969465648855,2,71.26436781609195,0.0,49.88505747126436,① 総合スーパースター,11.19488910806856,3
EXILE ATSUSHI,1,47.0,0.0,12.988549618320612,0,54.02298850574712,0.0,37.81609195402298,② デジタルネイティブ・スター,0.8241853673535602,3
EXILE THE SECOND,4,34.0,0.0,10.48091603053435,1,39.08045977011494,0.0,27.356321839080458,① 総合スーパースター,4.122218519573496,0
EXIT,1,42.0,0.0,21.057251908396942,0,48.275862068965516,0.0,33.79310344827586,② デジタルネイティブ・スター,0.9781967490221269,0
FANTASTICS,1,53.0,0.0,43.7824427480916,0,60.91954022988505,0.0,42.643678160919535,② デジタルネイティブ・スター,1.1507793529278998,3
FANTASTICS from EXILE TRIBE,1,53.0,0.0,31.935114503816795,0,60.91954022988505,0.0,42.643678160919535,② デジタルネイティブ・スター,1.033804829047277,3
FRUITS ZIPPER,1,64.0,0.0,17.740458015267176,0,73.5632183908046,0.0,51.49425287356321,② デジタルネイティブ・スター,1.0394661770643048,3
Foorin,6,36.0,0.0,6.599236641221374,1,41.37931034482759,0.0,28.96551724137931,① 総合スーパースター,5.813361321644941,0
GENERATIONS,13,53.0,0.0,33.221374045801525,2,60.91954022988505,0.0,42.643678160919535,① 総合スーパースター,13.00497446750073,3
GENERATIONS from EXILE TRIBE,8,53.0,0.0,40.61450381679389,2,60.91954022988505,0.0,42.643678160919535,① 総合スーパースター,7.898444485495082,3
GLAY,2,59.0,0.0,20.9618320610687,0,67.81609195402298,0.0,47.47126436781608,② デジタルネイティブ・スター,2.0848155444778778,3
GReeeeN,1,64.0,2.0,4.33587786259542,0,73.5632183908046,8.0,53.89425287356321,② デジタルネイティブ・スター,1.2587975140364482,2
HKT48,2,37.0,0.0,38.5,0,42.5287356321839,0.0,29.77011494252873,② デジタルネイティブ・スター,1.7187790406324728,0
HY,2,57.0,0.0,23.80534351145038,0,65.51724137931033,0.0,45.86206896551723,② デジタルネイティブ・スター,2.0991266213481956,3
Hey! Say! JUMP,20,59.0,1.0,36.1412213740458,2,67.81609195402298,4.0,48.671264367816086,① 総合スーパースター,20.01136386115872,3
Hey!Say!JUMP,1,59.0,0.0,36.1412213740458,0,67.81609195402298,0.0,47.47126436781608,② デジタルネイティブ・スター,1.0074048926051546,3
Hoodie fam,1,0.0,0.0,3.5610687022900764,1,0.0,0.0,0.0,④ その他,0.914843972037483,1
ILLIT,3,78.0,0.0,8.812977099236642,0,89.6551724137931,0.0,62.75862068965516,② デジタルネイティブ・スター,3.0231683905225477,2
IMP.,2,31.0,1.0,18.206106870229007,0,35.632183908045974,4.0,26.14252873563218,② デジタルネイティブ・スター,2.246139122020995,0
INI,1,24.0,0.0,33.66412213740458,0,27.586206896551722,0.0,19.310344827586203,④ その他,0.8913015712635305,0
IVE,1,44.0,0.0,25.091603053435115,0,50.574712643678154,0.0,35.4022988505747,② デジタルネイティブ・スター,0.7489789445009358,3
IZ*ONE,1,61.0,0.0,13.438931297709924,0,70.11494252873563,0.0,49.080459770114935,② デジタルネイティブ・スター,0.9148815028881384,3
J-FRIENDS,1,56.0,0.0,0.7480916030534351,0,64.36781609195401,0.0,45.057471264367805,② デジタルネイティブ・スター,0.9646717545054064,3
JO1,4,7.0,0.0,32.61450381679389,1,8.045977011494251,0.0,5.632183908045976,③ テレビ先行型スター,3.888575619215783,1
JUJU,7,56.0,0.0,17.69083969465649,0,64.36781609195401,0.0,45.057471264367805,① 総合スーパースター,7.236301448855394,3
Jr.EXILE,1,27.0,0.0,3.2938931297709924,1,31.034482758620687,0.0,21.72413793103448,④ その他,0.8525532750384133,0
Jr.EXILE（GENERATIONS、THE RAMPAGE、FANTASTICS、BALLISTIK BOYZ）,1,0.0,0.0,0.0,1,0.0,0.0,0.0,④ その他,0.9874432336540333,1
KABA.ちゃん,1,0.0,0.0,16.553435114503817,1,0.0,0.0,0.0,④ その他,1.4656238923142335,1
KANA-BOON,1,63.0,0.0,1.9580152671755728,0,72.41379310344827,0.0,50.68965517241379,② デジタルネイティブ・スター,1.12967695272843,3
KARA,2,2.0,0.0,7.034351145038168,1,2.2988505747126435,0.0,1.6091954022988504,④ その他,1.9834680644797227,1
KAT-TUN,13,31.0,0.0,15.053435114503817,2,35.632183908045974,0.0,24.94252873563218,③ テレビ先行型スター,12.890281480467626,0
KICK THE CAN CREW,1,36.0,0.0,19.748091603053435,0,41.37931034482759,0.0,28.96551724137931,② デジタルネイティブ・スター,0.9775847385819122,0
KREVA,1,49.0,0.0,19.778625954198475,0,56.32183908045977,0.0,39.42528735632183,② デジタルネイティブ・スター,0.9153444135465578,3
Kep1er,1,56.0,0.0,12.114503816793894,0,64.36781609195401,0.0,45.057471264367805,② デジタルネイティブ・スター,0.8721771252791668,3
KinKi Kids,13,62.0,0.0,24.44274809160305,2,71.26436781609195,0.0,49.88505747126436,① 総合スーパースター,12.863327400573844,3
King Gnu,9,72.0,18.0,20.927480916030536,3,82.75862068965517,72.0,79.53103448275861,① 総合スーパースター,9.066973917374037,2
Kiroro,1,49.0,0.0,38.70229007633588,0,56.32183908045977,0.0,39.42528735632183,② デジタルネイティブ・スター,1.2588750638610238,3
Kis-My-Ft2,13,53.0,0.0,29.49618320610687,2,60.91954022988505,0.0,42.643678160919535,① 総合スーパースター,13.321259067401064,3
L'Arc〜en〜Ciel,5,0.0,0.0,23.66030534351145,1,0.0,0.0,0.0,③ テレビ先行型スター,5.268472280906844,1
L'Arc～en～Ciel,1,0.0,0.0,28.5,1,0.0,0.0,0.0,④ その他,1.086043830185795,1
LE SSERAFIM,6,82.0,0.0,18.68702290076336,0,94.25287356321839,0.0,65.97701149425286,① 総合スーパースター,6.023246512065717,2
LUNA SEA,3,48.0,0.0,21.56106870229008,0,55.172413793103445,0.0,38.620689655172406,② デジタルネイティブ・スター,2.6857173534173002,3
LiSA,9,71.0,0.0,10.98091603053435,0,81.60919540229885,0.0,57.12643678160919,① 総合スーパースター,9.06172834937281,2
Little Glee Monster,12,56.0,0.0,13.454198473282442,2,64.36781609195401,0.0,45.057471264367805,① 総合スーパースター,12.102068597743878,3
MAN WITH A MISSION,1,63.0,0.0,32.152671755725194,0,72.41379310344827,0.0,50.68965517241379,② デジタルネイティブ・スター,0.8650473594991454,3
ME:I,2,56.0,0.0,23.0,0,64.36781609195401,0.0,45.057471264367805,② デジタルネイティブ・スター,2.0166898591530735,3
MIGHTY WARRIORS,1,20.0,0.0,1.3091603053435117,1,22.988505747126435,0.0,16.091954022988503,④ その他,0.9892482656339142,0
MISAMO,2,60.0,0.0,5.812977099236641,0,68.9655172413793,0.0,48.27586206896551,② デジタルネイティブ・スター,1.9215023394318753,3
MISIA,15,31.0,1.0,13.736641221374043,2,35.632183908045974,4.0,26.14252873563218,① 総合スーパースター,15.336633611262796,0
MIYAVI,2,55.0,0.0,7.324427480916031,0,63.218390804597696,0.0,44.25287356321839,② デジタルネイティブ・スター,2.2236822534551766,3
Matt,1,72.0,0.0,29.48854961832061,0,82.75862068965517,0.0,57.93103448275862,② デジタルネイティブ・スター,1.1612121325911338,2
May J.,2,79.0,0.0,8.977099236641221,0,90.80459770114942,0.0,63.563218390804586,② デジタルネイティブ・スター,1.8173364460331751,2
Mirage Collective,1,26.0,0.0,2.0267175572519083,1,29.885057471264368,0.0,20.919540229885055,④ その他,1.0205644064736386,0
Mr.Children,5,68.0,0.0,19.56870229007633,0,78.16091954022988,0.0,54.712643678160916,① 総合スーパースター,5.004457829475717,2
Mrs. GREEN APPLE,7,84.0,13.0,19.5763358778626,3,96.55172413793103,52.0,83.18620689655171,① 総合スーパースター,6.809522715485469,2
NEWS,14,27.0,0.0,43.13358778625954,2,31.034482758620687,0.0,21.72413793103448,③ テレビ先行型スター,13.993754823595433,0
NGT48,1,29.0,0.0,33.66793893129771,0,33.33333333333333,0.0,23.33333333333333,④ その他,1.0556846598942418,0
NMB48,3,42.0,0.0,17.946564885496183,0,48.275862068965516,0.0,33.79310344827586,② デジタルネイティブ・スター,2.7401510331831016,0
NewJeans,2,81.0,0.0,12.687022900763358,0,93.10344827586206,0.0,65.17241379310344,② デジタルネイティブ・スター,1.761565603224609,2
NiziU,14,61.0,0.0,14.202290076335878,2,70.11494252873563,0.0,49.080459770114935,① 総合スーパースター,13.831278448534466,3
Number_i,2,70.0,4.0,12.904580152671755,0,80.45977011494253,16.0,61.121839080459765,② デジタルネイティブ・スター,2.16397399042685,2
O-Zone,1,59.0,0.0,1.736641221374046,0,67.81609195402298,0.0,47.47126436781608,② デジタルネイティブ・スター,1.0220889748666888,3
ORANGE RANGE,2,64.0,0.0,18.866412213740457,0,73.5632183908046,0.0,51.49425287356321,② デジタルネイティブ・スター,1.7773739606189332,3
Official髭男dism,5,22.0,25.0,18.65267175572519,3,25.287356321839077,100.0,47.701149425287355,① 総合スーパースター,4.820840657527284,3
Omoinotake,3,61.0,0.0,8.320610687022901,0,70.11494252873563,0.0,49.080459770114935,② デジタルネイティブ・スター,2.967262699125925,3
PUFFY,2,48.0,0.0,30.19465648854962,0,55.172413793103445,0.0,38.620689655172406,② デジタルネイティブ・スター,1.9757849621870582,3
Perfume,29,59.0,0.0,36.1793893129771,2,67.81609195402298,0.0,47.47126436781608,① 総合スーパースター,29.010652132524697,3
RADIO FISH,3,32.0,0.0,6.106870229007634,1,36.7816091954023,0.0,25.747126436781606,④ その他,3.033805836982238,0
RADWIMPS,2,76.0,7.0,28.88167938931298,0,87.35632183908045,28.0,69.54942528735631,② デジタルネイティブ・スター,2.0709233371113935,2
RIIZE,1,69.0,0.0,16.698473282442748,0,79.3103448275862,0.0,55.51724137931034,② デジタルネイティブ・スター,0.7922814258799704,2
Rockon Social Club,1,29.0,0.0,7.202290076335878,1,33.33333333333333,0.0,23.33333333333333,④ その他,1.0653851293283882,0
SEKAI NO OWARI,20,67.0,0.0,27.17175572519084,2,77.01149425287356,0.0,53.90804597701149,① 総合スーパースター,19.900166802936177,2
SEVENTEEN,4,82.0,0.0,44.49236641221374,0,94.25287356321839,0.0,65.97701149425286,① 総合スーパースター,3.804576713562229,2
SHISHAMO,2,62.0,0.0,8.33206106870229,0,71.26436781609195,0.0,49.88505747126436,② デジタルネイティブ・スター,2.320282929078531,3
SKE48,1,36.0,0.0,21.759541984732824,0,41.37931034482759,0.0,28.96551724137931,② デジタルネイティブ・スター,1.1298569238016851,0
SMAP,3,14.0,0.0,25.729007633587788,1,16.091954022988503,0.0,11.264367816091951,④ その他,3.0550163732897846,1
STU48,1,32.0,0.0,13.603053435114504,1,36.7816091954023,0.0,25.747126436781606,④ その他,1.325981625594403,0
SUPER BEAVER,4,65.0,0.0,38.16412213740458,0,74.71264367816092,0.0,52.29885057471264,① 総合スーパースター,4.054095418739307,3
SUPER EIGHT,1,54.0,0.0,11.36259541984733,0,62.068965517241374,0.0,43.44827586206896,② デジタルネイティブ・スター,1.1437913047512227,3
SWEET STEADY,1,44.0,0.0,9.942748091603054,0,50.574712643678154,0.0,35.4022988505747,② デジタルネイティブ・スター,0.8162837754425976,3
Saucy Dog,4,67.0,0.0,22.763358778625957,0,77.01149425287356,0.0,53.90804597701149,① 総合スーパースター,3.7859051746836774,2
Sexy Zone,20,0.0,0.0,20.778625954198475,2,0.0,0.0,0.0,③ テレビ先行型スター,19.989516634022383,1
SixTONES,15,66.0,17.0,34.14885496183206,3,75.86206896551724,68.0,73.50344827586207,① 総合スーパースター,15.080613518557753,2
Snow Man,12,65.0,0.0,38.17557251908397,2,74.71264367816092,0.0,52.29885057471264,① 総合スーパースター,11.943459011929926,3
Stray Kids,6,87.0,0.0,41.25190839694657,0,100.0,0.0,70.0,① 総合スーパースター,6.104061028515607,2
Suchmos,1,59.0,0.0,8.16793893129771,0,67.81609195402298,0.0,47.47126436781608,② デジタルネイティブ・スター,1.3445914306503055,3
Superfly,15,63.0,0.0,16.099236641221374,2,72.41379310344827,0.0,50.68965517241379,① 総合スーパースター,15.193483450273202,3
TAKAHIRO,1,37.0,0.0,13.63358778625954,0,42.5287356321839,0.0,29.77011494252873,② デジタルネイティブ・スター,0.8067193375742376,0
THE ALFEE,1,49.0,0.0,11.110687022900764,0,56.32183908045977,0.0,39.42528735632183,② デジタルネイティブ・スター,0.9068212262405712,3
THE LAST ROCKSTARS,1,22.0,0.0,2.8053435114503817,1,25.287356321839077,0.0,17.70114942528735,④ その他,0.8741548341084142,0
THE RAMPAGE,6,55.0,0.0,32.603053435114504,0,63.218390804597696,0.0,44.25287356321839,① 総合スーパースター,5.767817798293194,3
THE RAMPAGE from EXILE TRIBE,3,55.0,0.0,32.70610687022901,0,63.218390804597696,0.0,44.25287356321839,② デジタルネイティブ・スター,3.0231530950554415,3
THE YELLOW MONKEY,5,53.0,0.0,28.14503816793893,0,60.91954022988505,0.0,42.643678160919535,① 総合スーパースター,5.086967007126287,3
TOKIO,10,67.0,0.0,8.641221374045802,0,77.01149425287356,0.0,53.90804597701149,① 総合スーパースター,10.100778129262343,2
TOMORROW X TOGETHER,3,82.0,0.0,16.5,0,94.25287356321839,0.0,65.97701149425286,② デジタルネイティブ・スター,2.6197656741625335,2
TWICE,8,87.0,0.0,46.43893129770992,2,100.0,0.0,70.0,① 総合スーパースター,8.009157643571887,2
Tani Yuuki,1,62.0,0.0,27.900763358778622,0,71.26436781609195,0.0,49.88505747126436,② デジタルネイティブ・スター,1.0915274672566329,3
Toshl,4,26.0,0.0,28.553435114503817,0,29.885057471264368,0.0,20.919540229885055,③ テレビ先行型スター,4.002838854119655,0
Travis Japan,2,63.0,0.0,27.919847328244277,0,72.41379310344827,0.0,50.68965517241379,② デジタルネイティブ・スター,1.9981768976432976,3
UVERworld,1,63.0,0.0,29.251908396946565,0,72.41379310344827,0.0,50.68965517241379,② デジタルネイティブ・スター,1.1000699068212823,3
Uru,1,14.0,0.0,14.767175572519085,1,16.091954022988503,0.0,11.264367816091951,④ その他,1.193481657459536,1
V6,7,44.0,0.0,9.942748091603054,0,50.574712643678154,0.0,35.4022988505747,① 総合スーパースター,6.918549102741323,3
Vaundy,3,75.0,0.0,19.248091603053435,0,86.20689655172413,0.0,60.34482758620688,② デジタルネイティブ・スター,3.0881308824511358,2
WANIMA,7,63.0,0.0,27.263358778625957,0,72.41379310344827,0.0,50.68965517241379,① 総合スーパースター,7.149297371179795,3
X JAPAN,6,53.0,0.0,8.057251908396946,0,60.91954022988505,0.0,42.643678160919535,① 総合スーパースター,6.061480877906411,3
XG,1,57.0,2.0,15.599236641221374,0,65.51724137931033,8.0,48.26206896551723,② デジタルネイティブ・スター,0.9101783817159524,3
YOASOBI,6,76.0,0.0,25.095419847328245,0,87.35632183908045,0.0,61.14942528735631,① 総合スーパースター,6.302012425659751,2
YOSHIKI,2,39.0,0.0,12.236641221374043,0,44.82758620689655,0.0,31.37931034482758,② デジタルネイティブ・スター,1.9882780045838637,0
YUKI,2,31.0,0.0,24.2175572519084,0,35.632183908045974,0.0,24.94252873563218,④ その他,1.9206381514319246,0
aespa,1,81.0,0.0,32.97709923664122,0,93.10344827586206,0.0,65.17241379310344,② デジタルネイティブ・スター,0.9679215592068644,2
aiko,17,13.0,1.0,16.064885496183205,2,14.942528735632184,4.0,11.659770114942527,③ テレビ先行型スター,16.87379305020643,1
ano,3,13.0,0.0,12.587786259541986,1,14.942528735632184,0.0,10.459770114942527,④ その他,3.2665411643802202,1
back number,8,77.0,15.0,26.248091603053435,3,88.50574712643677,60.0,79.95402298850573,① 総合スーパースター,7.816138198129447,2
m-flo,1,57.0,0.0,14.599236641221374,0,65.51724137931033,0.0,45.86206896551723,② デジタルネイティブ・スター,0.9154872655938342,3
m-flo loves Maya,1,0.0,0.0,0.7404580152671756,1,0.0,0.0,0.0,④ その他,1.1171892645013228,1
m-flo loves 櫻井翔,1,0.0,0.0,0.3816793893129771,1,0.0,0.0,0.0,④ その他,1.0274206736229219,1
milet,7,64.0,0.0,12.896946564885496,0,73.5632183908046,0.0,51.49425287356321,① 総合スーパースター,6.994461639362417,3
miwa,3,55.0,0.0,17.18320610687023,0,63.218390804597696,0.0,44.25287356321839,② デジタルネイティブ・スター,2.911256469145868,3
timelesz,1,59.0,0.0,6.133587786259542,0,67.81609195402298,0.0,47.47126436781608,② デジタルネイティブ・スター,1.1716697425816265,3
tuki.,1,31.0,0.0,4.370229007633588,1,35.632183908045974,0.0,24.94252873563218,④ その他,1.166963044982261,0
yama,2,2.0,2.0,18.81297709923664,1,2.2988505747126435,8.0,4.00919540229885,④ その他,2.0561539062719567,1
μ's,1,11.0,0.0,32.30152671755725,1,12.643678160919539,0.0,8.850574712643676,④ その他,0.8934232064651575,1
あいみょん,11,4.0,15.0,28.431297709923665,3,4.597701149425287,60.0,21.2183908045977,③ テレビ先行型スター,10.926401436713833,0
いきものがかり,15,0.0,0.0,16.255725190839694,2,0.0,0.0,0.0,③ テレビ先行型スター,15.007425506669673,1
おしりたんてい,1,0.0,0.0,12.687022900763358,1,0.0,0.0,0.0,④ その他,0.8184425618224449,1
きゃりーぱみゅぱみゅ,6,6.0,0.0,5.629770992366412,1,6.896551724137931,0.0,4.827586206896551,③ テレビ先行型スター,5.972078255745706,1
こっちのけんと,2,1.0,0.0,2.145038167938931,1,1.1494252873563218,0.0,0.8045977011494252,④ その他,1.845292056161454,1
さだまさし,3,46.0,0.0,22.31297709923664,0,52.8735632183908,0.0,37.011494252873554,② デジタルネイティブ・スター,3.247130898340016,3
すとぷり,1,49.0,0.0,26.087786259541986,0,56.32183908045977,0.0,39.42528735632183,② デジタルネイティブ・スター,1.028622483751906,3
ちゃんみな,1,0.0,2.0,16.50763358778626,1,0.0,8.0,2.4,④ その他,1.0484414904401496,1
なにわ男子,8,61.0,8.0,26.75572519083969,0,70.11494252873563,32.0,58.680459770114936,① 総合スーパースター,7.961015667606899,2
ひらめ,1,17.0,0.0,13.935114503816791,1,19.54022988505747,0.0,13.678160919540229,④ その他,1.0139836400445137,0
